epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1691,3.02058,8.67401,1.85777,5e-05,0.02468,6e-05,2e-05,2.65393,7.76772,1.46604,2.074e-05,2.074e-05,2.074e-05
2,100.335,2.68464,7.05649,1.62515,0.00088,0.0288,0.00014,6e-05,2.3855,7.04354,1.36796,4.24182e-05,4.24182e-05,4.24182e-05
3,163.676,2.4057,6.11484,1.42032,0.00124,0.06352,0.00315,0.00148,2.17926,5.9679,1.29009,6.38065e-05,6.38065e-05,6.38065e-05
