epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,996.087,1.39941,0.96229,1.06058,0.79777,0.73606,0.76798,0.3921,1.71835,1.02517,1.2641,0.000424187,0.000424187,0.000424187
43,1016.18,1.36831,0.91936,1.04859,0.75614,0.69346,0.76742,0.3875,1.72618,1.03506,1.25236,0.000417119,0.000417119,0.000417119
44,1036.37,1.40404,0.93809,1.06259,0.74126,0.80436,0.7964,0.37557,1.7904,1.00671,1.29064,0.00041005,0.00041005,0.00041005
45,1056.77,1.39421,0.93827,1.04959,0.72298,0.84004,0.78214,0.39883,1.72892,0.9957,1.27522,0.000402982,0.000402982,0.000402982
46,1076.85,1.37382,0.89517,1.05926,0.81825,0.7936,0.82321,0.41764,1.7068,1.00343,1.24382,0.000395913,0.000395913,0.000395913
47,1096.89,1.34527,0.8953,1.03943,0.80664,0.74805,0.80043,0.4058,1.72513,0.95991,1.25724,0.000388844,0.000388844,0.000388844
48,1117.43,1.33566,0.88098,1.04552,0.89347,0.69961,0.77831,0.40711,1.69895,0.94885,1.24908,0.000381776,0.000381776,0.000381776
49,1137.46,1.32806,0.8876,1.03825,0.82619,0.74274,0.77851,0.39407,1.7499,0.93729,1.26801,0.000374707,0.000374707,0.000374707
50,1157.09,1.34775,0.88414,1.03718,0.82043,0.81512,0.79885,0.38867,1.73079,0.91711,1.26375,0.000367639,0.000367639,0.000367639
51,1177.73,1.3108,0.86023,1.03596,0.84127,0.72554,0.79327,0.3801,1.81628,0.95779,1.32495,0.00036057,0.00036057,0.00036057
52,1197.53,1.35041,0.85167,1.03714,0.79201,0.74504,0.79048,0.40446,1.76642,0.9194,1.28181,0.000353501,0.000353501,0.000353501
53,1216.86,1.32937,0.83388,1.03757,0.81892,0.80868,0.83247,0.4132,1.72968,0.92103,1.26634,0.000346433,0.000346433,0.000346433
54,1237.81,1.33449,0.86099,1.01717,0.79752,0.77976,0.81036,0.41515,1.72178,0.95853,1.25351,0.000339364,0.000339364,0.000339364
55,1257.65,1.30863,0.85033,1.03318,0.8034,0.80562,0.79089,0.39045,1.73577,0.96826,1.26044,0.000332296,0.000332296,0.000332296
56,1278.3,1.31986,0.84735,1.03014,0.85033,0.73245,0.78063,0.39973,1.72198,0.92583,1.26479,0.000325227,0.000325227,0.000325227
57,1299.7,1.24365,0.80621,1.01972,0.83353,0.75959,0.79635,0.40146,1.75901,0.9328,1.27857,0.000318158,0.000318158,0.000318158
58,1324.61,1.2615,0.80504,1.01791,0.86559,0.79273,0.81723,0.4034,1.7306,0.90971,1.25276,0.00031109,0.00031109,0.00031109
59,1345.85,1.23874,0.78626,0.99743,0.8021,0.78317,0.79601,0.39133,1.73721,0.88444,1.27523,0.000304021,0.000304021,0.000304021
60,1367.04,1.23696,0.78806,0.99919,0.82319,0.77286,0.81041,0.39892,1.76587,0.92685,1.2963,0.000296953,0.000296953,0.000296953
61,1390.2,1.24937,0.81013,1.00829,0.90729,0.7594,0.83339,0.41718,1.74309,0.93777,1.26944,0.000289884,0.000289884,0.000289884
62,1412.22,1.26756,0.8157,1.02154,0.83478,0.78683,0.81854,0.41594,1.69239,0.88401,1.25324,0.000282815,0.000282815,0.000282815
63,1435.8,1.25413,0.79645,0.9887,0.84487,0.77745,0.80655,0.39697,1.73319,0.91114,1.2659,0.000275747,0.000275747,0.000275747
64,1457.61,1.27299,0.80147,1.02227,0.85096,0.8217,0.84055,0.40792,1.7255,0.89217,1.27461,0.000268678,0.000268678,0.000268678
65,1480.5,1.24076,0.78142,1.00333,0.86396,0.75268,0.82323,0.40033,1.75985,0.89481,1.29292,0.00026161,0.00026161,0.00026161
66,1502.7,1.23733,0.7611,1.00228,0.85716,0.74612,0.79114,0.40573,1.75932,0.89716,1.28676,0.000254541,0.000254541,0.000254541
67,1523.59,1.22484,0.7657,0.99313,0.89219,0.76552,0.82694,0.42086,1.75799,0.88076,1.28809,0.000247472,0.000247472,0.000247472
68,1545.07,1.20718,0.75769,0.98687,0.85552,0.75252,0.80601,0.41974,1.74031,0.86544,1.27343,0.000240404,0.000240404,0.000240404
69,1567.48,1.1954,0.73381,0.98142,0.86091,0.76247,0.80114,0.4075,1.73519,0.86296,1.27934,0.000233335,0.000233335,0.000233335
70,1589.4,1.18606,0.73283,0.98413,0.91393,0.7569,0.81622,0.42489,1.7287,0.87543,1.28322,0.000226267,0.000226267,0.000226267
71,1611.48,1.16228,0.73414,0.96814,0.86789,0.80542,0.81833,0.42612,1.73665,0.86165,1.27461,0.000219198,0.000219198,0.000219198
72,1633.53,1.18742,0.74022,0.99773,0.86166,0.75487,0.82908,0.42168,1.74439,0.89017,1.28,0.000212129,0.000212129,0.000212129
73,1655.76,1.16802,0.72248,0.98798,0.9132,0.76278,0.82795,0.4221,1.73355,0.86781,1.28702,0.000205061,0.000205061,0.000205061
74,1677.89,1.17571,0.7193,0.98098,0.87932,0.76798,0.80189,0.40668,1.78391,0.85804,1.31635,0.000197992,0.000197992,0.000197992
75,1699.44,1.18354,0.71756,0.99026,0.82959,0.77178,0.78218,0.40682,1.75415,0.88035,1.2944,0.000190924,0.000190924,0.000190924
76,1721.7,1.14596,0.70635,0.98005,0.92026,0.75298,0.8184,0.41604,1.76743,0.87776,1.29677,0.000183855,0.000183855,0.000183855
77,1742.16,1.12496,0.69106,0.95259,0.90591,0.77255,0.82665,0.40347,1.77284,0.87264,1.31455,0.000176786,0.000176786,0.000176786
78,1763,1.14421,0.7164,0.96028,0.8917,0.78721,0.83228,0.40297,1.78329,0.86096,1.30261,0.000169718,0.000169718,0.000169718
79,1784.28,1.16623,0.7226,0.96718,0.85383,0.81673,0.8334,0.4082,1.79837,0.87214,1.31509,0.000162649,0.000162649,0.000162649
80,1804.91,1.15106,0.71024,0.97759,0.87789,0.79567,0.83513,0.40708,1.76419,0.8527,1.3016,0.000155581,0.000155581,0.000155581
81,1826.04,1.11025,0.70555,0.95586,0.89674,0.7733,0.83182,0.40849,1.80516,0.85502,1.3217,0.000148512,0.000148512,0.000148512
82,1846.93,1.13317,0.71565,0.96014,0.83656,0.77174,0.82346,0.41858,1.73605,0.85816,1.28341,0.000141443,0.000141443,0.000141443
83,1867.58,1.10302,0.6962,0.96412,0.90389,0.74944,0.82764,0.40634,1.74931,0.87485,1.28804,0.000134375,0.000134375,0.000134375
84,1887.97,1.12358,0.69403,0.9733,0.90483,0.73793,0.83416,0.40902,1.76272,0.91759,1.29687,0.000127306,0.000127306,0.000127306
85,1907.38,1.11059,0.68995,0.96558,0.92898,0.73118,0.8284,0.40529,1.7533,0.88085,1.29281,0.000120238,0.000120238,0.000120238
86,1927.19,1.10758,0.697,0.9585,0.90329,0.77334,0.84156,0.40693,1.77914,0.88263,1.31883,0.000113169,0.000113169,0.000113169
87,1947.45,1.08937,0.67757,0.95556,0.93228,0.76719,0.83382,0.41087,1.78503,0.86755,1.3139,0.0001061,0.0001061,0.0001061
88,1967.71,1.10847,0.6916,0.95726,0.88144,0.7629,0.82826,0.41384,1.77106,0.85658,1.30407,9.90318e-05,9.90318e-05,9.90318e-05
89,1986.89,1.10312,0.68712,0.96063,0.90256,0.75836,0.83476,0.41542,1.74678,0.85811,1.28794,9.19632e-05,9.19632e-05,9.19632e-05
90,2006.13,1.07221,0.66848,0.94909,0.8492,0.78263,0.82413,0.4048,1.75086,0.86079,1.28939,8.48946e-05,8.48946e-05,8.48946e-05
91,2030.48,1.14423,0.79181,0.97904,0.8335,0.7996,0.822,0.40047,1.76153,0.88227,1.30738,7.7826e-05,7.7826e-05,7.7826e-05
92,2051.88,1.09388,0.73305,0.9811,0.84435,0.76426,0.82235,0.4087,1.74606,0.88815,1.30243,7.07574e-05,7.07574e-05,7.07574e-05
93,2073.6,1.09898,0.7084,0.99061,0.89076,0.73954,0.81692,0.40264,1.74845,0.88132,1.30129,6.36888e-05,6.36888e-05,6.36888e-05
94,2095.59,1.0428,0.6866,0.96441,0.8875,0.73044,0.81585,0.40329,1.75648,0.87845,1.29978,5.66202e-05,5.66202e-05,5.66202e-05
95,2116.93,1.04063,0.68124,0.96389,0.86175,0.75531,0.81839,0.40611,1.7562,0.87372,1.29714,4.95516e-05,4.95516e-05,4.95516e-05
96,2137.69,1.02725,0.66971,0.9558,0.84366,0.79104,0.81424,0.40364,1.7442,0.85944,1.28498,4.2483e-05,4.2483e-05,4.2483e-05
97,2158.25,1.03858,0.67392,0.95307,0.84759,0.79291,0.81735,0.4091,1.74307,0.85582,1.2791,3.54144e-05,3.54144e-05,3.54144e-05
98,2178.71,1.01466,0.6634,0.95036,0.84985,0.79137,0.82175,0.40758,1.7426,0.85754,1.28112,2.83458e-05,2.83458e-05,2.83458e-05
99,2198.38,1.00562,0.6547,0.95062,0.86707,0.78562,0.82474,0.40409,1.74578,0.859,1.28586,2.12772e-05,2.12772e-05,2.12772e-05
100,2217.41,0.99802,0.65524,0.9528,0.86846,0.78119,0.82401,0.40747,1.74898,0.85699,1.28919,1.42086e-05,1.42086e-05,1.42086e-05
