epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,705.376,2.09305,5.03059,1.4878,0.52982,0.08038,0.0673,0.03711,2.02087,4.16665,1.48338,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687
2,1523.33,1.99673,3.42303,1.44538,0.49592,0.18149,0.17675,0.08967,1.99057,3.52608,1.56188,0.0197828,0.00659427,0.0197828,0.00659427,0.0197828,0.00659427,0.0197828,0.00659427
3,2365.78,1.9782,2.95699,1.46753,0.51784,0.17532,0.18465,0.09367,1.93316,3.25387,1.55635,0.029387,0.00979567,0.029387,0.00979567,0.029387,0.00979567,0.029387,0.00979567
4,3257.97,1.94895,2.64842,1.47613,0.4947,0.25445,0.28809,0.13599,1.95818,2.77186,1.56342,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4109,1.89578,2.23295,1.46054,0.53843,0.25166,0.30647,0.15161,1.91601,2.35859,1.55457,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
